Date,Portfolio_Value
2020-10-15,12061.380234926504
2020-10-16,12146.725706638086
2020-10-19,11943.21115841689
2020-10-20,11938.228962185347
2020-10-21,11839.372875978173
2020-10-22,11862.603406582297
2020-10-23,11921.21809281809
2020-10-26,11805.403649377844
2020-10-27,11756.876365120517
2020-10-28,11352.60647997705
2020-10-29,11435.070107958962
2020-10-30,11250.466872428093
2020-11-02,11357.345698837855
2020-11-03,11541.841931495735
2020-11-04,11664.573309975618
2020-11-05,11868.938661710677
2020-11-06,11924.817667998688
2020-11-09,12076.860800854287
2020-11-10,12243.437636498218
2020-11-11,12404.938670636457
2020-11-12,12277.914065319655
2020-11-13,12392.411753299653
2020-11-16,12497.202171918962
2020-11-17,12428.242806648686
2020-11-18,12359.821377213328
2020-11-19,12382.441067727821
2020-11-20,12311.319181667692
2020-11-23,12190.348216957456
2020-11-24,12315.79338405286
2020-11-25,12378.616452201217
2020-11-27,12339.658776637354
2020-11-30,12254.093150370538
2020-12-01,12507.691105610897
2020-12-02,12512.019965936439
2020-12-03,12488.770413542648
2020-12-04,12482.807595914606
2020-12-07,12474.649637677003
2020-12-08,12554.891398367397
2020-12-09,12518.629045734853
2020-12-10,12521.050552580124
2020-12-11,12575.527830352414
2020-12-14,12501.485752507928
2020-12-15,12717.778212303445
2020-12-16,12643.817543524003
2020-12-17,12731.482869327698
2020-12-18,12691.9155794321
2020-12-21,12627.986857771193
2020-12-22,12670.304573661635
2020-12-23,12675.353654752218
2020-12-24,12731.729035968172
2020-12-28,12913.320436974669
2020-12-29,12933.515812486225
2020-12-30,12972.955451766356
2020-12-31,12999.97491428591
2021-01-04,12747.522124960842
2021-01-05,12868.62649146263
2021-01-06,12878.09377009934
2021-01-07,13032.57713475535
2021-01-08,13115.208960072123
2021-01-11,12973.808013310641
2021-01-12,12965.218329601566
2021-01-13,13072.01252063558
2021-01-14,13070.17407963659
2021-01-15,12948.54898174772
2021-01-19,12982.649594674225
2021-01-20,13183.940612914243
2021-01-21,13256.111147497664
2021-01-22,13376.371885607474
2021-01-25,13549.3365586627
2021-01-26,13563.41699791688
2021-01-27,13229.270067039844
2021-01-28,13286.019246282052
2021-01-29,12923.644582265253
2021-02-01,13045.47427969304
2021-02-02,13210.595120830581
2021-02-03,13181.195830501445
2021-02-04,13291.498659831834
2021-02-05,13382.85122786353
2021-02-08,13372.711391491463
2021-02-09,13507.405699931283
2021-02-10,13461.341542601944
2021-02-11,13438.271796349372
2021-02-12,13398.7013856726
2021-02-16,13279.712929765763
2021-02-17,13222.35274639628
2021-02-18,13211.690018902942
2021-02-19,13109.325436313955
2021-02-22,12982.259653670622
2021-02-23,12970.427156411357
2021-02-24,12930.652131529814
2021-02-25,12797.415108827421
2021-02-26,12622.805695994686
2021-03-01,12941.78131080641
2021-03-02,12927.461331327519
2021-03-03,12736.805809913534
2021-03-04,12492.158491377006
2021-03-05,12573.147353625405
2021-03-08,12483.710891501554
2021-03-09,12735.408189777556
2021-03-10,12840.278291349183
2021-03-11,12952.85756590789
2021-03-12,12972.891007818665
2021-03-15,13058.94072834125
2021-03-16,13106.136072259134
2021-03-17,13082.194044513071
2021-03-18,12920.48490460233
2021-03-19,12837.179812878678
2021-03-22,12979.254577953736
2021-03-23,12974.899590880865
2021-03-24,12910.507606804815
2021-03-25,13018.028780163531
2021-03-26,13121.241346018867
2021-03-29,13218.212260159036
2021-03-30,13203.673833255101
2021-03-31,13261.633205138114
2021-04-01,13304.97804436982
2021-04-05,13514.977124675475
2021-04-06,13542.354344191288
2021-04-07,13592.842174601567
2021-04-08,13734.428298833373
2021-04-09,13780.482354201846
2021-04-12,13756.132103076416
2021-04-13,13964.464442286806
2021-04-14,13912.373505802732
2021-04-15,14045.392569263186
2021-04-16,14202.332279348542
2021-04-19,14151.48520121096
